ensembl_gene,module
ENSG00000229807,grey
ENSG00000270641,grey
ENSG00000175084,M12
ENSG00000211895,M14
ENSG00000211592,M14
ENSG00000163017,M1
ENSG00000244734,grey
ENSG00000129824,grey
ENSG00000162896,M6
ENSG00000186081,M22
ENSG00000211890,M14
ENSG00000188536,grey
ENSG00000234638,M12
ENSG00000160862,grey
ENSG00000115386,M23
ENSG00000272398,M6
ENSG00000211677,M14
ENSG00000136872,M21
ENSG00000092054,M18
ENSG00000211896,M14
ENSG00000171401,M22
ENSG00000206172,grey
ENSG00000163435,M6
ENSG00000197249,M13
ENSG00000104879,M18
ENSG00000211899,M14
ENSG00000275896,M23
ENSG00000171346,M22
ENSG00000143632,M18
ENSG00000173432,grey
ENSG00000012817,grey
ENSG00000163631,M13
ENSG00000067048,grey
ENSG00000171345,M6
ENSG00000198125,M18
ENSG00000163220,grey
ENSG00000188257,grey
ENSG00000132465,M14
ENSG00000186847,M22
ENSG00000211679,M14
ENSG00000133392,M1
ENSG00000039068,M6
ENSG00000130176,M1
ENSG00000185559,grey
ENSG00000184012,M6
ENSG00000128591,M12
ENSG00000254709,M14
ENSG00000143546,grey
ENSG00000101210,M18
ENSG00000204983,M23
ENSG00000124253,M13
ENSG00000211675,M14
ENSG00000184292,grey
ENSG00000137699,M22
ENSG00000147465,grey
ENSG00000205420,M22
ENSG00000211893,M14
ENSG00000257017,M13
ENSG00000052344,M6
ENSG00000135480,M6
ENSG00000169347,M23
ENSG00000102837,M23
ENSG00000115884,M6
ENSG00000100604,M9
ENSG00000189143,M6
ENSG00000090382,M14
ENSG00000091704,M23
ENSG00000170323,M25
ENSG00000153002,M23
ENSG00000196091,M18
ENSG00000111245,M18
ENSG00000243955,M21
ENSG00000171195,grey
ENSG00000077522,M18
ENSG00000229732,M22
ENSG00000130294,M9
ENSG00000089199,M9
ENSG00000196136,grey
ENSG00000118137,M13
ENSG00000116299,M6
ENSG00000081277,M22
ENSG00000189334,grey
ENSG00000175793,grey
ENSG00000096088,grey
